contig	midpt	gene_id	left_coord	right_coord	pi
GUT_GENOME142330_1	3595	GUT_GENOME142330_00007	3095	4095	0.000525952764758735
GUT_GENOME142330_1	3914	GUT_GENOME142330_00008	3414	4414	0.0004970154223885567
GUT_GENOME142330_1	4022	GUT_GENOME142330_00008	3522	4522	0.0008906516369202936
GUT_GENOME142330_1	4094	GUT_GENOME142330_00008	3594	4594	0.0009489481827042146
GUT_GENOME142330_1	4335	GUT_GENOME142330_00009	3835	4835	0.0009052108255340216
GUT_GENOME142330_1	4482	GUT_GENOME142330_00009	3982	4982	0.0008614734683638286
GUT_GENOME142330_1	4536	GUT_GENOME142330_00009	4036	5036	0.0008177361111936357
GUT_GENOME142330_1	5048	GUT_GENOME142330_00010	4548	5548	0.000255720040256007
GUT_GENOME142330_1	5132	GUT_GENOME142330_00010	4632	5632	0.000255720040256007
GUT_GENOME142330_1	5270	GUT_GENOME142330_00010	4770	5770	0.0003135947249963634
GUT_GENOME142330_1	5646	GUT_GENOME142330_00012	5146	6146	0.00010193342030397355
GUT_GENOME142330_1	6805	GUT_GENOME142330_00015	6305	7305	0.0019107813968099008
GUT_GENOME142330_1	6823	GUT_GENOME142330_00015	6323	7323	0.0019107813968099008
GUT_GENOME142330_1	6881	GUT_GENOME142330_00015	6381	7381	0.0019107813968099008
GUT_GENOME142330_1	6928	GUT_GENOME142330_00015	6428	7428	0.0019107813968099008
GUT_GENOME142330_1	6943	GUT_GENOME142330_00015	6443	7443	0.0019107813968099008
GUT_GENOME142330_1	6985	GUT_GENOME142330_00015	6485	7485	0.0019107813968099008
GUT_GENOME142330_1	7129	GUT_GENOME142330_00015	6629	7629	0.0019545187539800938
GUT_GENOME142330_1	7230	GUT_GENOME142330_00016	6730	7730	0.002266423543496823
GUT_GENOME142330_1	7611	GUT_GENOME142330_00017	7111	8111	0.0015277639562231637
GUT_GENOME142330_1	7673	GUT_GENOME142330_00017	7173	8173	0.0012515280162008924
GUT_GENOME142330_1	7718	GUT_GENOME142330_00017	7218	8218	0.001337014668851724
GUT_GENOME142330_1	7757	GUT_GENOME142330_00017	7257	8257	0.0010508010508010507
GUT_GENOME142330_1	7881	GUT_GENOME142330_00018	7381	8381	0.001094859786364668
GUT_GENOME142330_1	8022	GUT_GENOME142330_00018	7522	8522	0.001094859786364668
GUT_GENOME142330_1	8102	GUT_GENOME142330_00018	7602	8602	0.001094859786364668
GUT_GENOME142330_1	8195	GUT_GENOME142330_00018	7695	8695	0.0010373064800177356
GUT_GENOME142330_1	8282	GUT_GENOME142330_00018	7782	8782	0.0005292462704649888
GUT_GENOME142330_1	8659	GUT_GENOME142330_00019	8159	9159	0.00026107883811845206
GUT_GENOME142330_1	8916	GUT_GENOME142330_00020	8416	9416	0.00016091258376074892
GUT_GENOME142330_1	9126	GUT_GENOME142330_00020	8626	9626	0.00016091258376074892
GUT_GENOME142330_1	9165	GUT_GENOME142330_00020	8665	9665	0.00011685384819713177
GUT_GENOME142330_1	9808	GUT_GENOME142330_00022	9308	10308	0.0007256425166872931
GUT_GENOME142330_1	9883	GUT_GENOME142330_00022	9383	10383	0.0007256425166872931
GUT_GENOME142330_1	9907	GUT_GENOME142330_00022	9407	10407	0.0007256425166872931
GUT_GENOME142330_1	10196	GUT_GENOME142330_00023	9696	10696	0.0013847954146461608
GUT_GENOME142330_1	10238	GUT_GENOME142330_00023	9738	10738	0.0013847954146461608
GUT_GENOME142330_1	10247	GUT_GENOME142330_00023	9747	10747	0.0013847954146461608
GUT_GENOME142330_1	10559	GUT_GENOME142330_00023	10059	11059	0.001291356515237112
GUT_GENOME142330_1	10604	GUT_GENOME142330_00023	10104	11104	0.0016134225089448969
GUT_GENOME142330_1	10616	GUT_GENOME142330_00023	10116	11116	0.0016134225089448969
GUT_GENOME142330_1	10628	GUT_GENOME142330_00023	10128	11128	0.0016134225089448969
GUT_GENOME142330_1	10631	GUT_GENOME142330_00023	10131	11131	0.0016134225089448969
GUT_GENOME142330_1	10648	GUT_GENOME142330_00023	10148	11148	0.0016134225089448969
GUT_GENOME142330_1	10649	GUT_GENOME142330_00023	10149	11149	0.0016134225089448969
GUT_GENOME142330_1	10650	GUT_GENOME142330_00023	10150	11150	0.0016134225089448969
GUT_GENOME142330_1	10673	GUT_GENOME142330_00023	10173	11173	0.0016134225089448969
GUT_GENOME142330_1	10682	GUT_GENOME142330_00023	10182	11182	0.0016134225089448969
GUT_GENOME142330_1	10787	GUT_GENOME142330_00023	10287	11287	0.0014680731098641547
GUT_GENOME142330_1	10793	GUT_GENOME142330_00023	10293	11293	0.0014680731098641547
GUT_GENOME142330_1	10856	GUT_GENOME142330_00023	10356	11356	0.0014680731098641547
GUT_GENOME142330_1	11009	GUT_GENOME142330_00023	10509	11509	0.0015398642264313905
GUT_GENOME142330_1	11033	GUT_GENOME142330_00023	10533	11533	0.0015398642264313905
GUT_GENOME142330_1	11051	GUT_GENOME142330_00023	10551	11551	0.0015398642264313905
GUT_GENOME142330_1	11090	GUT_GENOME142330_00023	10590	11590	0.0014961268692611975
GUT_GENOME142330_1	11384	GUT_GENOME142330_00024	10884	11884	0.001331780436258048
GUT_GENOME142330_1	11635	GUT_GENOME142330_00024	11135	12135	0.001121266792908584
GUT_GENOME142330_1	11689	GUT_GENOME142330_00024	11189	12189	0.001265240991422116
GUT_GENOME142330_1	11767	GUT_GENOME142330_00024	11267	12267	0.0018845296816343837
GUT_GENOME142330_1	11857	GUT_GENOME142330_00024	11357	12357	0.0020587466665347933
GUT_GENOME142330_1	11875	GUT_GENOME142330_00024	11375	12375	0.0020587466665347933
GUT_GENOME142330_1	11881	GUT_GENOME142330_00024	11381	12381	0.0020587466665347933
GUT_GENOME142330_1	11883	GUT_GENOME142330_00024	11383	12383	0.0020587466665347933
GUT_GENOME142330_1	11895	GUT_GENOME142330_00024	11395	12395	0.0019869555499675575
GUT_GENOME142330_1	11956	GUT_GENOME142330_00024	11456	12456	0.0019869555499675575
GUT_GENOME142330_1	11959	GUT_GENOME142330_00024	11459	12459	0.0019869555499675575
GUT_GENOME142330_1	12033	GUT_GENOME142330_00025	11533	12533	0.0021323049490483
GUT_GENOME142330_1	12144	GUT_GENOME142330_00025	11644	12644	0.0018782748442719265
GUT_GENOME142330_1	12187	GUT_GENOME142330_00025	11687	12687	0.0018782748442719265
GUT_GENOME142330_1	12219	GUT_GENOME142330_00025	11719	12719	0.0018345374871017333
GUT_GENOME142330_1	12237	GUT_GENOME142330_00025	11737	12737	0.0018345374871017333
GUT_GENOME142330_1	12246	GUT_GENOME142330_00025	11746	12746	0.0018345374871017333
GUT_GENOME142330_1	12246	GUT_GENOME142330_00025	11746	12746	0.0018345374871017333
GUT_GENOME142330_1	12300	GUT_GENOME142330_00025	11800	12800	0.0018345374871017335
GUT_GENOME142330_1	12312	GUT_GENOME142330_00025	11812	12812	0.0018345374871017335
GUT_GENOME142330_1	12315	GUT_GENOME142330_00025	11815	12815	0.0018345374871017335
GUT_GENOME142330_1	12510	GUT_GENOME142330_00025	12010	13010	0.0017364597770837252
GUT_GENOME142330_1	12513	GUT_GENOME142330_00025	12013	13013	0.0017364597770837252
GUT_GENOME142330_1	12528	GUT_GENOME142330_00025	12028	13028	0.0017364597770837252
GUT_GENOME142330_1	12792	GUT_GENOME142330_00026	12292	13292	0.0007527429365606899
GUT_GENOME142330_1	12911	GUT_GENOME142330_00026	12411	13411	0.0006222633088304731
GUT_GENOME142330_1	12928	GUT_GENOME142330_00026	12428	13428	0.0006222633088304731
GUT_GENOME142330_1	13007	GUT_GENOME142330_00026	12507	13507	0.0006222633088304731
GUT_GENOME142330_1	13210	GUT_GENOME142330_00027	12710	13710	0.0008078157331888675
GUT_GENOME142330_1	13234	GUT_GENOME142330_00027	12734	13734	0.0008078157331888675
GUT_GENOME142330_1	13350	GUT_GENOME142330_00028	12850	13850	0.0008221739565023147
GUT_GENOME142330_1	13661	GUT_GENOME142330_00029	13161	14161	0.0005347885944900871
GUT_GENOME142330_1	13793	GUT_GENOME142330_00029	13293	14293	0.00043317655257953764
GUT_GENOME142330_1	13829	GUT_GENOME142330_00029	13329	14329	0.00047691390974973066
GUT_GENOME142330_1	14107	GUT_GENOME142330_00030	13607	14607	0.0007274096826335632
GUT_GENOME142330_1	14329	GUT_GENOME142330_00030	13829	14829	0.0010530100082338889
GUT_GENOME142330_1	14501	GUT_GENOME142330_00031	14001	15001	0.001163899671362358
GUT_GENOME142330_1	14627	GUT_GENOME142330_00031	14127	15127	0.0011490996565623431
GUT_GENOME142330_1	14684	GUT_GENOME142330_00031	14184	15184	0.0013180849001744523
GUT_GENOME142330_1	14813	GUT_GENOME142330_00031	14313	15313	0.001830783920336159
GUT_GENOME142330_1	14834	GUT_GENOME142330_00031	14334	15334	0.001830783920336159
GUT_GENOME142330_1	14888	GUT_GENOME142330_00031	14388	15388	0.0019180377389332612
GUT_GENOME142330_1	15160	GUT_GENOME142330_00032	14660	15660	0.001563720966706041
GUT_GENOME142330_1	15181	GUT_GENOME142330_00032	14681	15681	0.0015637209667060412
GUT_GENOME142330_1	15193	GUT_GENOME142330_00032	14693	15693	0.0013096908619296677
GUT_GENOME142330_1	15257	GUT_GENOME142330_00032	14757	15757	0.0019701691343482386
GUT_GENOME142330_1	15277	GUT_GENOME142330_00032	14777	15777	0.002013906491518431
GUT_GENOME142330_1	15328	GUT_GENOME142330_00032	14828	15828	0.0018758466519660547
GUT_GENOME142330_1	15355	GUT_GENOME142330_00032	14855	15855	0.0017505987655241381
GUT_GENOME142330_1	15387	GUT_GENOME142330_00032	14887	15887	0.0017505987655241381
GUT_GENOME142330_1	15396	GUT_GENOME142330_00032	14896	15896	0.0017212196316673926
GUT_GENOME142330_1	15458	GUT_GENOME142330_00032	14958	15958	0.0017212196316673926
GUT_GENOME142330_1	15469	GUT_GENOME142330_00032	14969	15969	0.0017212196316673926
GUT_GENOME142330_1	15520	GUT_GENOME142330_00032	15020	16020	0.0017212196316673926
GUT_GENOME142330_1	15613	GUT_GENOME142330_00032	15113	16113	0.0017212196316673926
GUT_GENOME142330_1	15637	GUT_GENOME142330_00032	15137	16137	0.0017212196316673926
GUT_GENOME142330_1	15640	GUT_GENOME142330_00032	15140	16140	0.0017212196316673926
GUT_GENOME142330_1	15643	GUT_GENOME142330_00032	15143	16143	0.0017212196316673926
GUT_GENOME142330_1	15646	GUT_GENOME142330_00032	15146	16146	0.0017212196316673926
GUT_GENOME142330_1	15649	GUT_GENOME142330_00032	15149	16149	0.0017212196316673926
GUT_GENOME142330_1	15655	GUT_GENOME142330_00032	15155	16155	0.0017649569888375856
GUT_GENOME142330_1	15661	GUT_GENOME142330_00032	15161	16161	0.0016397091023956692
GUT_GENOME142330_1	15664	GUT_GENOME142330_00032	15164	16164	0.0016397091023956692
GUT_GENOME142330_1	15670	GUT_GENOME142330_00032	15170	16170	0.0016397091023956692
GUT_GENOME142330_1	15701	GUT_GENOME142330_00032	15201	16201	0.0014579119056730996
GUT_GENOME142330_1	15742	GUT_GENOME142330_00032	15242	16242	0.0014579119056730996
GUT_GENOME142330_1	15742	GUT_GENOME142330_00032	15242	16242	0.0014579119056730996
GUT_GENOME142330_1	15764	GUT_GENOME142330_00032	15264	16264	0.0013914222869446748
GUT_GENOME142330_1	15839	GUT_GENOME142330_00032	15339	16339	0.001303947572604289
GUT_GENOME142330_1	15842	GUT_GENOME142330_00032	15342	16342	0.001303947572604289
GUT_GENOME142330_1	15844	GUT_GENOME142330_00032	15344	16344	0.001303947572604289
GUT_GENOME142330_1	15845	GUT_GENOME142330_00032	15345	16345	0.001303947572604289
GUT_GENOME142330_1	16155	GUT_GENOME142330_00033	15655	16655	0.0013783894380909303
GUT_GENOME142330_1	16248	GUT_GENOME142330_00033	15748	16748	0.0011833384967713325
GUT_GENOME142330_1	16394	GUT_GENOME142330_00033	15894	16894	0.0020868020868020864
GUT_GENOME142330_1	16620	GUT_GENOME142330_00034	16120	17120	0.0034017944465705658
GUT_GENOME142330_1	16643	GUT_GENOME142330_00034	16143	17143	0.0034017944465705658
GUT_GENOME142330_1	16724	GUT_GENOME142330_00034	16224	17224	0.003732696270009703
GUT_GENOME142330_1	16750	GUT_GENOME142330_00034	16250	17250	0.0037764336271798957
GUT_GENOME142330_1	16755	GUT_GENOME142330_00034	16255	17255	0.0037764336271798957
GUT_GENOME142330_1	16757	GUT_GENOME142330_00034	16257	17257	0.0037764336271798957
GUT_GENOME142330_1	16823	GUT_GENOME142330_00034	16323	17323	0.003863908341520282
GUT_GENOME142330_1	16856	GUT_GENOME142330_00034	16356	17356	0.003907645698690475
GUT_GENOME142330_1	16916	GUT_GENOME142330_00034	16416	17416	0.004091430957102598
GUT_GENOME142330_1	16967	GUT_GENOME142330_00034	16467	17467	0.004190392250093742
GUT_GENOME142330_1	17009	GUT_GENOME142330_00034	16509	17509	0.004234129607263934
GUT_GENOME142330_1	17030	GUT_GENOME142330_00034	16530	17530	0.004234129607263934
GUT_GENOME142330_1	17039	GUT_GENOME142330_00034	16539	17539	0.004234129607263934
GUT_GENOME142330_1	17075	GUT_GENOME142330_00034	16575	17575	0.004498541811974646
GUT_GENOME142330_1	17144	GUT_GENOME142330_00034	16644	17644	0.004234129607263934
GUT_GENOME142330_1	17198	GUT_GENOME142330_00034	16698	17698	0.004784822695270454
GUT_GENOME142330_1	17234	GUT_GENOME142330_00034	16734	17734	0.004694034544780813
GUT_GENOME142330_1	17237	GUT_GENOME142330_00034	16737	17737	0.004694034544780813
GUT_GENOME142330_1	17273	GUT_GENOME142330_00034	16773	17773	0.005331097868411299
GUT_GENOME142330_1	17308	GUT_GENOME142330_00034	16808	17808	0.005705737049020629
GUT_GENOME142330_1	17328	GUT_GENOME142330_00034	16828	17828	0.0059264118965611495
GUT_GENOME142330_1	17371	GUT_GENOME142330_00034	16871	17871	0.005926411896561149
GUT_GENOME142330_1	17371	GUT_GENOME142330_00034	16871	17871	0.005926411896561149
GUT_GENOME142330_1	17386	GUT_GENOME142330_00035	16886	17886	0.006230143543576378
GUT_GENOME142330_1	17441	GUT_GENOME142330_00035	16941	17941	0.006121683733624031
GUT_GENOME142330_1	17479	GUT_GENOME142330_00035	16979	17979	0.005790781910184894
GUT_GENOME142330_1	17545	GUT_GENOME142330_00035	17045	18045	0.005480865182357717
GUT_GENOME142330_1	17626	GUT_GENOME142330_00035	17126	18126	0.005938340266698475
GUT_GENOME142330_1	17647	GUT_GENOME142330_00035	17147	18147	0.005607438443259337
GUT_GENOME142330_1	17677	GUT_GENOME142330_00035	17177	18177	0.005651175800429531
GUT_GENOME142330_1	17683	GUT_GENOME142330_00035	17183	18183	0.005651175800429531
GUT_GENOME142330_1	17692	GUT_GENOME142330_00035	17192	18192	0.0056949131575997234
GUT_GENOME142330_1	17701	GUT_GENOME142330_00035	17201	18201	0.005651175800429532
GUT_GENOME142330_1	17716	GUT_GENOME142330_00035	17216	18216	0.005651175800429532
GUT_GENOME142330_1	17728	GUT_GENOME142330_00035	17228	18228	0.005651175800429532
GUT_GENOME142330_1	17731	GUT_GENOME142330_00035	17231	18231	0.005651175800429532
GUT_GENOME142330_1	17743	GUT_GENOME142330_00035	17243	18243	0.005343026238548625
GUT_GENOME142330_1	17758	GUT_GENOME142330_00035	17258	18258	0.005343026238548625
GUT_GENOME142330_1	17764	GUT_GENOME142330_00035	17264	18264	0.005343026238548625
GUT_GENOME142330_1	17764	GUT_GENOME142330_00035	17264	18264	0.005343026238548625
GUT_GENOME142330_1	17772	GUT_GENOME142330_00035	17272	18272	0.005343026238548625
GUT_GENOME142330_1	17782	GUT_GENOME142330_00035	17282	18282	0.005299288881378432
GUT_GENOME142330_1	17806	GUT_GENOME142330_00035	17306	18306	0.005343026238548625
GUT_GENOME142330_1	17827	GUT_GENOME142330_00035	17327	18327	0.00540090092328898
GUT_GENOME142330_1	17833	GUT_GENOME142330_00035	17333	18333	0.005357163566118788
GUT_GENOME142330_1	17872	GUT_GENOME142330_00035	17372	18372	0.005159240980136501
GUT_GENOME142330_1	17930	GUT_GENOME142330_00035	17430	18430	0.005159240980136501
GUT_GENOME142330_1	17931	GUT_GENOME142330_00035	17431	18431	0.005159240980136501
GUT_GENOME142330_1	17995	GUT_GENOME142330_00035	17495	18495	0.00510401704431555
GUT_GENOME142330_1	18031	GUT_GENOME142330_00035	17531	18531	0.005147754401485743
GUT_GENOME142330_1	18043	GUT_GENOME142330_00035	17543	18543	0.005235229115826128
GUT_GENOME142330_1	18061	GUT_GENOME142330_00035	17561	18561	0.004970816911115417
GUT_GENOME142330_1	18073	GUT_GENOME142330_00035	17573	18573	0.004970816911115417
GUT_GENOME142330_1	18121	GUT_GENOME142330_00035	17621	18621	0.004970816911115417
GUT_GENOME142330_1	18169	GUT_GENOME142330_00035	17669	18669	0.004941879568745239
GUT_GENOME142330_1	18187	GUT_GENOME142330_00035	17687	18687	0.004699336042619623
GUT_GENOME142330_1	18294	GUT_GENOME142330_00036	17794	18794	0.00320917335842709
GUT_GENOME142330_1	18309	GUT_GENOME142330_00036	17809	18809	0.0028782715349879536
GUT_GENOME142330_1	18325	GUT_GENOME142330_00036	17825	18825	0.0028782715349879536
GUT_GENOME142330_1	18412	GUT_GENOME142330_00036	17912	18912	0.0032363435348509977
GUT_GENOME142330_1	18447	GUT_GENOME142330_00036	17947	18947	0.00341129296353177
GUT_GENOME142330_1	18469	GUT_GENOME142330_00036	17969	18969	0.003455030320701963
GUT_GENOME142330_1	18523	GUT_GENOME142330_00036	18023	19023	0.0035977289708632987
GUT_GENOME142330_1	18533	GUT_GENOME142330_00036	18033	19033	0.0035398542861229424
GUT_GENOME142330_1	18534	GUT_GENOME142330_00036	18034	19034	0.0035398542861229424
GUT_GENOME142330_1	18633	GUT_GENOME142330_00036	18133	19133	0.0041758131310370115
GUT_GENOME142330_1	18657	GUT_GENOME142330_00036	18157	19157	0.0042195504882072046
GUT_GENOME142330_1	18729	GUT_GENOME142330_00036	18229	19229	0.004658912121598687
GUT_GENOME142330_1	18732	GUT_GENOME142330_00036	18232	19232	0.004658912121598687
GUT_GENOME142330_1	18732	GUT_GENOME142330_00036	18232	19232	0.004658912121598687
GUT_GENOME142330_1	18735	GUT_GENOME142330_00036	18235	19235	0.004658912121598687
GUT_GENOME142330_1	18750	GUT_GENOME142330_00036	18250	19250	0.00470264947876888
GUT_GENOME142330_1	18762	GUT_GENOME142330_00036	18262	19262	0.004746386835939073
GUT_GENOME142330_1	18840	GUT_GENOME142330_00036	18340	19340	0.004746386835939074
GUT_GENOME142330_1	18852	GUT_GENOME142330_00036	18352	19352	0.004746386835939074
GUT_GENOME142330_1	18867	GUT_GENOME142330_00036	18367	19367	0.00488908548610041
GUT_GENOME142330_1	18897	GUT_GENOME142330_00036	18397	19397	0.004988046779091554
GUT_GENOME142330_1	18924	GUT_GENOME142330_00036	18424	19424	0.004944309421921361
GUT_GENOME142330_1	18957	GUT_GENOME142330_00036	18457	19457	0.004900572064751169
GUT_GENOME142330_1	18982	GUT_GENOME142330_00036	18482	19482	0.004914709392321332
GUT_GENOME142330_1	18987	GUT_GENOME142330_00036	18487	19487	0.005179121597032044
GUT_GENOME142330_1	18993	GUT_GENOME142330_00036	18493	19493	0.005179121597032044
GUT_GENOME142330_1	19080	GUT_GENOME142330_00037	18580	19580	0.0054402203655935
GUT_GENOME142330_1	19084	GUT_GENOME142330_00037	18584	19584	0.005615390690017555
GUT_GENOME142330_1	19084	GUT_GENOME142330_00037	18584	19584	0.005615390690017555
GUT_GENOME142330_1	19093	GUT_GENOME142330_00037	18593	19593	0.005760740089098297
GUT_GENOME142330_1	19120	GUT_GENOME142330_00037	18620	19620	0.005760740089098297
GUT_GENOME142330_1	19125	GUT_GENOME142330_00037	18625	19625	0.005760740089098297
GUT_GENOME142330_1	19126	GUT_GENOME142330_00037	18626	19626	0.005760740089098297
GUT_GENOME142330_1	19144	GUT_GENOME142330_00037	18644	19644	0.0057459400742982825
GUT_GENOME142330_1	19184	GUT_GENOME142330_00037	18684	19684	0.005844901367289426
GUT_GENOME142330_1	19187	GUT_GENOME142330_00037	18687	19687	0.006333522751433198
GUT_GENOME142330_1	19188	GUT_GENOME142330_00037	18688	19688	0.006333522751433198
GUT_GENOME142330_1	19189	GUT_GENOME142330_00037	18689	19689	0.006333522751433198
GUT_GENOME142330_1	19191	GUT_GENOME142330_00037	18691	19691	0.006333522751433198
GUT_GENOME142330_1	19207	GUT_GENOME142330_00037	18707	19707	0.006333522751433198
GUT_GENOME142330_1	19222	GUT_GENOME142330_00037	18722	19722	0.006333522751433198
GUT_GENOME142330_1	19249	GUT_GENOME142330_00037	18749	19749	0.005952256698525355
GUT_GENOME142330_1	19257	GUT_GENOME142330_00037	18757	19757	0.005908519341355162
GUT_GENOME142330_1	19265	GUT_GENOME142330_00037	18765	19765	0.005864781984184969
GUT_GENOME142330_1	19309	GUT_GENOME142330_00037	18809	19809	0.005864781984184969
GUT_GENOME142330_1	19333	GUT_GENOME142330_00037	18833	19833	0.005864781984184969
GUT_GENOME142330_1	19363	GUT_GENOME142330_00037	18863	19863	0.005269467956035119
GUT_GENOME142330_1	19363	GUT_GENOME142330_00037	18863	19863	0.005269467956035119
GUT_GENOME142330_1	19369	GUT_GENOME142330_00037	18869	19869	0.004938566132595982
GUT_GENOME142330_1	19474	GUT_GENOME142330_00037	18974	19974	0.004299514747275941
GUT_GENOME142330_1	19486	GUT_GENOME142330_00037	18986	19986	0.0042005534542847965
GUT_GENOME142330_1	19496	GUT_GENOME142330_00037	18996	19996	0.0041130787399444105
GUT_GENOME142330_1	19497	GUT_GENOME142330_00037	18997	19997	0.0041130787399444105
GUT_GENOME142330_1	19525	GUT_GENOME142330_00037	19025	20025	0.004334637170458065
GUT_GENOME142330_1	19540	GUT_GENOME142330_00037	19040	20040	0.004334637170458065
GUT_GENOME142330_1	19540	GUT_GENOME142330_00037	19040	20040	0.004334637170458065
GUT_GENOME142330_1	19541	GUT_GENOME142330_00037	19041	20041	0.004334637170458065
GUT_GENOME142330_1	19543	GUT_GENOME142330_00037	19043	20043	0.004334637170458065
GUT_GENOME142330_1	19543	GUT_GENOME142330_00037	19043	20043	0.004334637170458065
GUT_GENOME142330_1	19581	GUT_GENOME142330_00037	19081	20081	0.004128983233460844
GUT_GENOME142330_1	19587	GUT_GENOME142330_00037	19087	20087	0.003674600689526062
GUT_GENOME142330_1	19590	GUT_GENOME142330_00037	19090	20090	0.003674600689526062
GUT_GENOME142330_1	19591	GUT_GENOME142330_00037	19091	20091	0.003674600689526062
GUT_GENOME142330_1	19658	GUT_GENOME142330_00037	19158	20158	0.0034082004231257962
GUT_GENOME142330_1	19678	GUT_GENOME142330_00037	19178	20178	0.0036622305279021697
GUT_GENOME142330_1	19687	GUT_GENOME142330_00037	19187	20187	0.003618493170731977
GUT_GENOME142330_1	19936	GUT_GENOME142330_00038	19436	20436	0.0028343132820744755
GUT_GENOME142330_1	19976	GUT_GENOME142330_00038	19476	20476	0.0027764385973341192
GUT_GENOME142330_1	20007	GUT_GENOME142330_00038	19507	20507	0.0024682890354532144
GUT_GENOME142330_1	20074	GUT_GENOME142330_00038	19574	20574	0.0021634529097215665
GUT_GENOME142330_1	20130	GUT_GENOME142330_00038	19630	20630	0.0021274469035663063
GUT_GENOME142330_1	20178	GUT_GENOME142330_00038	19678	20678	0.0020284856105751625
GUT_GENOME142330_1	20205	GUT_GENOME142330_00038	19705	20705	0.0014961268692611973
GUT_GENOME142330_1	20259	GUT_GENOME142330_00038	19759	20759	0.0014961268692611973
GUT_GENOME142330_1	20340	GUT_GENOME142330_00038	19840	20840	0.0014961268692611973
GUT_GENOME142330_1	20443	GUT_GENOME142330_00039	19943	20943	0.0014961268692611973
GUT_GENOME142330_1	20491	GUT_GENOME142330_00039	19991	20991	0.0014961268692611973
GUT_GENOME142330_1	20617	GUT_GENOME142330_00039	20117	21117	0.0011493205523056267
GUT_GENOME142330_1	21235	GUT_GENOME142330_00040	20735	21735	0.0031634815491382758
GUT_GENOME142330_1	21303	GUT_GENOME142330_00040	20803	21803	0.003366484737216091
GUT_GENOME142330_1	21323	GUT_GENOME142330_00040	20823	21823	0.003410222094386284
GUT_GENOME142330_1	21333	GUT_GENOME142330_00040	20833	21833	0.003410222094386284
GUT_GENOME142330_1	21403	GUT_GENOME142330_00040	20903	21903	0.003925130071980828
GUT_GENOME142330_1	21405	GUT_GENOME142330_00040	20905	21905	0.003925130071980828
GUT_GENOME142330_1	21420	GUT_GENOME142330_00040	20920	21920	0.003925130071980828
GUT_GENOME142330_1	21423	GUT_GENOME142330_00040	20923	21923	0.003925130071980828
GUT_GENOME142330_1	21435	GUT_GENOME142330_00040	20935	21935	0.003925130071980828
GUT_GENOME142330_1	21474	GUT_GENOME142330_00040	20974	21974	0.003968867429151021
GUT_GENOME142330_1	21522	GUT_GENOME142330_00040	21022	22022	0.003968867429151021
GUT_GENOME142330_1	21525	GUT_GENOME142330_00040	21025	22025	0.003968867429151021
GUT_GENOME142330_1	21546	GUT_GENOME142330_00040	21046	22046	0.003968867429151021
GUT_GENOME142330_1	21552	GUT_GENOME142330_00040	21052	22052	0.003968867429151021
GUT_GENOME142330_1	21576	GUT_GENOME142330_00040	21076	22076	0.003968867429151021
