"","snp1","snp2","post_freq_1","post_freq_2","pre_freq_1","pre_freq_2","mean_dist_ben","pre_cor","post_cor","mean_pre_freq","pre_num_common"
"28",382,6772,0.28,0.53,0,0,3195,-1.5,-0.037484106092508,0,0
"29",382,7572,0.28,0.47,0,0,3595,-1.5,0.037484106092508,0,0
"30",382,8084,0.28,0.38,0,0,3851,-1.5,-0.0293661536673852,0,0
"31",382,9190,0.28,0.37,0,0.01,4404,-1.5,-0.0166068055348313,0.005,0
"32",382,9549,0.28,0.36,0,0,4583.5,-1.5,-0.096511004023931,0,0
"33",382,9818,0.28,0.32,0,0.23,4718,-1.5,0.00190978853547544,0.115,1
"34",1549,2038,0.27,0.21,0,0,3206.5,-1.5,-0.313557038351296,0,0
"35",1549,3545,0.27,0.39,0,0,2453,-1.5,0.622052532559909,0,0
"36",1549,4252,0.27,0.43,0,0,2099.5,-1.5,0.563710778150385,0,0
"37",1549,4707,0.27,0.57,0,0,1872,-1.5,0.43722845666063,0,0
"38",1549,4831,0.27,0.79,0,0.43,1810,-1.5,0.313557038351296,0.215,1
"39",1549,5018,0.27,0.59,0,0,1734.5,-1.5,0.415380438765258,0,0
"40",1549,5125,0.27,0.64,0,0.33,1788,-1.5,0.362270316753058,0.165,1
"41",1549,5686,0.27,0.51,0,0,2068.5,-1.5,0.460945090307257,0,0
"42",1549,5988,0.27,0.47,0,0,2219.5,-1.5,0.375034177804798,0,0
"43",1549,6772,0.27,0.53,0,0,2611.5,-1.5,0.347053288486029,0,0
"44",1549,7572,0.27,0.47,0,0,3011.5,-1.5,0.284773244518445,0,0
"45",1549,8084,0.27,0.38,0,0,3267.5,-1.5,0.219961861545964,0,0
"46",1549,9190,0.27,0.37,0,0.01,3820.5,-1.5,-0.0461871054363788,0.005,0
"47",1549,9549,0.27,0.36,0,0,4000,-1.5,0.247770372079812,0,0
"48",1549,9818,0.27,0.32,0,0.23,4134.5,-1.5,0.21052987452088,0.115,1
"49",2038,3545,0.21,0.39,0,0,2208.5,-1.5,-0.26124437237569,0,0
"50",2038,4252,0.21,0.43,0,0,1855,-1.5,-0.249444042685171,0,0
"51",2038,4707,0.21,0.57,0,0,1627.5,-1.5,-0.0481035231420708,0,0
"52",2038,4831,0.21,0.79,0,0.43,1565.5,-1.5,-0.0958408679927667,0.215,1
"53",2038,5018,0.21,0.59,0,0,1490,-1.5,-0.119304485932496,0,0
"54",2038,5125,0.21,0.64,0,0.33,1543.5,-1.5,-0.0736542924210354,0.165,1
"55",2038,5686,0.21,0.51,0,0,1824,-1.5,-0.133095376711786,0,0
"56",2038,5988,0.21,0.47,0,0,1975,-1.5,-0.141179565173063,0,0
"57",2038,6772,0.21,0.53,0,0,2367,-1.5,-0.203160837688066,0,0
"58",2038,7572,0.21,0.47,0,0,2767,-1.5,-0.190371051296082,0,0
"59",2038,8084,0.21,0.38,0,0,3023,-1.5,-0.0495695800516423,0,0
"60",2038,9190,0.21,0.37,0,0.01,3576,-1.5,-0.0900075492117308,0.005,0
"61",2038,9549,0.21,0.36,0,0,3755.5,-1.5,0.0225054782397608,0,0
"62",2038,9818,0.21,0.32,0,0.23,3890,-1.5,0.0147368747631936,0.115,1
"63",3545,4252,0.39,0.43,0,0,1101.5,-1.5,0.920599184944994,0,0
"64",3545,4707,0.39,0.57,0,0,874,-1.5,0.694487104432189,0,0
"65",3545,4831,0.39,0.79,0,0.43,812,-1.5,0.412252680107303,0.215,1
"66",3545,5018,0.39,0.59,0,0,736.5,-1.5,0.666550883712518,0,0
"67",3545,5125,0.39,0.64,0,0.33,790,-1.5,0.599692544176584,0.165,1
"68",3545,5686,0.39,0.51,0,0,1070.5,-1.5,0.537678093667097,0,0
"69",3545,5988,0.39,0.47,0,0,1221.5,-1.5,0.520466199028944,0,0
"70",3545,6772,0.39,0.53,0,0,1613.5,-1.5,0.383263586183113,0,0
"71",3545,7572,0.39,0.47,0,0,2013.5,-1.5,0.356151692626751,0,0
"72",3545,8084,0.39,0.38,0,0,2269.5,-1.5,0.261037926467679,0,0
"73",3545,9190,0.39,0.37,0,0.01,2822.5,-1.5,-0.0607250218418422,0.005,0
"74",3545,9549,0.39,0.36,0,0,3002,-1.5,0.297283483437964,0,0
"75",3545,9818,0.39,0.32,0,0.23,3136.5,-1.5,0.374466462672948,0.115,1
"76",4252,4707,0.43,0.57,0,0,520.5,-1.5,0.754385964912281,0,0
"77",4252,4831,0.43,0.79,0,0.43,458.5,-1.5,0.447809086569999,0.215,1
"78",4252,5018,0.43,0.59,0,0,383,-1.5,0.724040271393836,0,0
"79",4252,5125,0.43,0.64,0,0.33,436.5,-1.5,0.651415462867714,0.165,1
"80",4252,5686,0.43,0.51,0,0,717,-1.5,0.56851157803222,0,0
"81",4252,5988,0.43,0.47,0,0,868,-1.5,0.558091935282163,0,0
"82",4252,6772,0.43,0.53,0,0,1260,-1.5,0.41320657427345,0,0
"83",4252,7572,0.43,0.47,0,0,1660,-1.5,0.355738079124743,0,0
"84",4252,8084,0.43,0.38,0,0,1916,-1.5,0.277150030349844,0,0
"85",4252,9190,0.43,0.37,0,0.01,2469,-1.5,-0.0380713783044779,0.005,0
"86",4252,9549,0.43,0.36,0,0,2648.5,-1.5,0.316449888938321,0,0
"87",4252,9818,0.43,0.32,0,0.23,2783,-1.5,0.400102136143067,0.115,1
"88",4707,4831,0.57,0.79,0,0.43,231,-1.5,0.593607393825348,0.215,1
"89",4707,5018,0.57,0.59,0,0,155.5,-1.5,0.918705664837215,0,0
"90",4707,5125,0.57,0.64,0,0.33,209,-1.5,0.653098706957811,0.165,1
"91",4707,5686,0.57,0.51,0,0,489.5,-1.5,0.60326068656866,0,0
"92",4707,5988,0.57,0.47,0,0,640.5,-1.5,0.656031201662354,0,0
"93",4707,6772,0.57,0.53,0,0,1032.5,-1.5,0.477150392819195,0,0
"94",4707,7572,0.57,0.47,0,0,1432.5,-1.5,0.41320657427345,0,0
"95",4707,8084,0.57,0.38,0,0,1688.5,-1.5,0.38867586838852,0,0
"96",4707,9190,0.57,0.37,0,0.01,2241.5,-1.5,-0.00376530115099232,0.005,0
"97",4707,9549,0.57,0.36,0,0,2421,-1.5,0.35684774710066,0,0
"98",4707,9818,0.57,0.32,0,0.23,2555.5,-1.5,0.422618706575361,0.115,1
"99",4831,5018,0.79,0.59,0.43,0,93.5,-1.5,0.61848643544085,0.215,1
"100",4831,5125,0.79,0.64,0.43,0.33,147,-0.609559871094983,0.227100734964859,0.38,2
"101",4831,5686,0.79,0.51,0.43,0,427.5,-1.5,0.47688417264629,0.215,1
"102",4831,5988,0.79,0.47,0.43,0,578.5,-1.5,0.485519968034193,0.215,1
"103",4831,6772,0.79,0.53,0.43,0,970.5,-1.5,0.498309754426178,0.215,1
"104",4831,7572,0.79,0.47,0.43,0,1370.5,-1.5,0.288754023542119,0.215,1
"105",4831,8084,0.79,0.38,0.43,0,1626.5,-1.5,0.403638008991944,0.215,1
"106",4831,9190,0.79,0.37,0.43,0.01,2179.5,-0.0872929564835514,-0.0116958962252532,0.22,1
"107",4831,9549,0.79,0.36,0.43,0,2359,-1.5,0.335536221029161,0.215,1
"108",4831,9818,0.79,0.32,0.43,0.23,2493.5,-0.234708016302385,0.301053298733811,0.33,2
"109",5018,5125,0.59,0.64,0,0.33,71.5,-1.5,0.730260970427349,0.165,1
"110",5018,5686,0.59,0.51,0,0,352,-1.5,0.687768918442596,0,0
"111",5018,5988,0.59,0.47,0,0,503,-1.5,0.74427554497996,0,0
"112",5018,6772,0.59,0.53,0,0,895,-1.5,0.559326942122324,0,0
"113",5018,7572,0.59,0.47,0,0,1295,-1.5,0.459112500926336,0,0
"114",5018,8084,0.59,0.38,0,0,1551,-1.5,0.401291473263924,0,0
"115",5018,9190,0.59,0.37,0,0.01,2104,-1.5,-0.0349533673597056,0.005,0
"116",5018,9549,0.59,0.36,0,0,2283.5,-1.5,0.371060678709024,0,0
"117",5018,9818,0.59,0.32,0,0.23,2418,-1.5,0.441096013544001,0.115,1
"118",5125,5686,0.64,0.51,0.33,0,405.5,-1.5,0.598453035911971,0.165,1
"119",5125,5988,0.64,0.47,0.33,0,556.5,-1.5,0.622788697059211,0.165,1
"120",5125,6772,0.64,0.53,0.33,0,948.5,-1.5,0.420758047342952,0.165,1
"121",5125,7572,0.64,0.47,0.33,0,1348.5,-1.5,0.372337478402692,0.165,1
"122",5125,8084,0.64,0.38,0.33,0,1604.5,-1.5,0.286713130110135,0.165,1
"123",5125,9190,0.64,0.37,0.33,0.01,2157.5,-0.0705345615858598,0.0138082170222489,0.17,1
"124",5125,9549,0.64,0.36,0.33,0,2337,-1.5,0.258680555555556,0.165,1
"125",5125,9818,0.64,0.32,0.33,0.23,2471.5,0.172325968154519,0.380512485784942,0.28,2
"126",5686,5988,0.51,0.47,0,0,837,-1.5,0.882967066596692,0,0
"127",5686,6772,0.51,0.53,0,0,1229,-1.5,0.720241406570247,0,0
"128",5686,7572,0.51,0.47,0,0,1629,-1.5,0.562325371963304,0,0
"129",5686,8084,0.51,0.38,0,0,1885,-1.5,0.602527122825089,0,0
"130",5686,9190,0.51,0.37,0,0.01,2438,-1.5,-0.201778410413514,0.005,0
"131",5686,9549,0.51,0.36,0,0,2617.5,-1.5,0.568447034111371,0,0
"132",5686,9818,0.51,0.32,0,0.23,2752,-1.5,0.543759277634641,0.115,1
"133",5988,6772,0.47,0.53,0,0,1380,-1.5,0.846647932557206,0,0
"134",5988,7572,0.47,0.47,0,0,1780,-1.5,0.678843837816138,0,0
"135",5988,8084,0.47,0.38,0,0,2036,-1.5,0.624958772126288,0,0
"136",5988,9190,0.47,0.37,0,0.01,2589,-1.5,-0.223681859615412,0.005,0
"137",5988,9549,0.47,0.36,0,0,2768.5,-1.5,0.587725526447298,0,0
"138",5988,9818,0.47,0.32,0,0.23,2903,-1.5,0.599610333869469,0.115,1
"139",6772,7572,0.53,0.47,0,0,2172,-1.5,0.645925331192292,0,0
"140",6772,8084,0.53,0.38,0,0,2428,-1.5,0.572122099185624,0,0
"141",6772,9190,0.53,0.37,0,0.01,2981,-1.5,-0.0668140619630453,0.005,0
"142",6772,9549,0.53,0.36,0,0,3160.5,-1.5,0.497563087730951,0,0
"143",6772,9818,0.53,0.32,0,0.23,3295,-1.5,0.517142436947594,0.115,1
"144",7572,8084,0.47,0.38,0,0,2828,-1.5,0.666237422861181,0,0
"145",7572,9190,0.47,0.37,0,0.01,3381,-1.5,-0.223681859615412,0.005,0
"146",7572,9549,0.47,0.36,0,0,3560.5,-1.5,0.587725526447298,0,0
"147",7572,9818,0.47,0.32,0,0.23,3695,-1.5,0.599610333869469,0.115,1
"148",8084,9190,0.38,0.37,0,0.01,3637,-1.5,-0.429278562369826,0.005,0
"149",8084,9549,0.38,0.36,0,0,3816.5,-1.5,0.872157305963765,0,0
"150",8084,9818,0.38,0.32,0,0.23,3951,-1.5,0.743746608917473,0.115,1
"151",9190,9549,0.37,0.36,0.01,0,4369.5,-1.5,-0.57476703355111,0.005,0
"152",9190,9818,0.37,0.32,0.01,0.23,4504,-0.0549289071015131,-0.481314227999911,0.12,1
"153",9549,9818,0.36,0.32,0,0.23,4683.5,-1.5,0.869998030879185,0.115,1
"1",309,327,0.51,0.35,0.32,0.06,4682,-0.173313435525545,-0.748625113417631,0.19,1
"2",309,885,0.51,0.31,0.32,0,4403,-1.5,-0.640569915642482,0.16,1
"3",309,1315,0.51,0.79,0.32,0,4188,-1.5,-0.0142426786887152,0.16,1
"4",309,2077,0.51,0.38,0.32,0,3807,-1.5,-0.304148438197617,0.16,1
"5",309,2295,0.51,0.27,0.32,0,3698,-1.5,0.0103633793519716,0.16,1
"6",309,2522,0.51,0.39,0.32,0,3584.5,-1.5,-0.200552698553173,0.16,1
"7",309,2665,0.51,0.58,0.32,0,3513,-1.5,-0.0640376397883422,0.16,1
"8",309,2974,0.51,0.42,0.32,0,3358.5,-1.5,-0.260203574329846,0.16,1
"9",309,3391,0.51,0.29,0.32,0.16,3150,0.051458081713852,0.185596932684869,0.24,1
"10",309,3931,0.51,0.22,0.32,0,2880,-1.5,-0.0589139390157203,0.16,1
"11",309,4187,0.51,0.69,0.32,0.14,2752,0.0321262958659422,-0.0514705063885586,0.23,1
"12",309,4199,0.51,0.44,0.32,0,2746,-1.5,-0.178928487290378,0.16,1
"13",309,4365,0.51,0.44,0.32,0,2663,-1.5,-0.178928487290378,0.16,1
"14",309,4371,0.51,0.44,0.32,0,2660,-1.5,-0.178928487290378,0.16,1
"15",309,4544,0.51,0.46,0.32,0.07,2573.5,-0.0201646784900397,-0.138872794562511,0.195,1
"16",309,4825,0.51,0.48,0.32,0,2433,-1.5,-0.17937941173235,0.16,1
"17",309,4963,0.51,0.28,0.32,0,2364,-1.5,0.0320777652242194,0.16,1
"18",309,5678,0.51,0.44,0.32,0,2684.5,-1.5,-0.138629278441194,0.16,1
"19",309,5785,0.51,0.42,0.32,0,2738,-1.5,-0.098082967270752,0.16,1
"20",309,5939,0.51,0.36,0.32,0,2815,-1.5,-0.140028008402801,0.16,1
"21",309,6256,0.51,0.35,0.32,0,2973.5,-1.5,-0.161468161717528,0.16,1
"22",309,6670,0.51,0.2,0.32,0,3180.5,-1.5,0.140028008402801,0.16,1
"23",309,6827,0.51,0.44,0.32,0.03,3259,0.00502671255338921,-0.259526904988747,0.175,1
"24",309,7050,0.51,0.22,0.32,0,3370.5,-1.5,-0.0106238250684086,0.16,1
"25",309,7167,0.51,0.32,0.32,0.01,3429,-0.0689450253326692,0.0720438159642111,0.165,1
"26",309,8361,0.51,0.31,0.32,0,4026,-1.5,-0.0350345463653214,0.16,1
"27",309,8688,0.51,0.26,0.32,0,4189.5,-1.5,-0.103067745695693,0.16,1
"28",309,8782,0.51,0.29,0.32,0,4236.5,-1.5,0.00925780424318822,0.16,1
"29",309,9793,0.51,0.26,0.32,0,4742,-1.5,0.033747845935758,0.16,1
"30",327,885,0.35,0.31,0.06,0,4394,-1.5,0.822773956873854,0.03,0
"31",327,1315,0.35,0.79,0.06,0,4179,-1.5,0.275384751192551,0.03,0
"32",327,2077,0.35,0.38,0.06,0,3798,-1.5,0.50536774323842,0.03,0
"33",327,2295,0.35,0.27,0.06,0,3689,-1.5,-0.0684753072469655,0.03,0
"34",327,2522,0.35,0.39,0.06,0,3575.5,-1.5,0.401905259286423,0.03,0
"35",327,2665,0.35,0.58,0.06,0,3504,-1.5,0.242128277904664,0.03,0
"36",327,2974,0.35,0.42,0.06,0,3349.5,-1.5,0.395051400791821,0.03,0
"37",327,3391,0.35,0.29,0.06,0.16,3141,-0.110263569283994,-0.191747284793022,0.11,0
"38",327,3931,0.35,0.22,0.06,0,2871,-1.5,-0.0860398370332006,0.03,0
"39",327,4187,0.35,0.69,0.06,0.14,2743,-0.101935742486331,0.219859707484198,0.1,0
"40",327,4199,0.35,0.44,0.06,0,2737,-1.5,0.320998157822645,0.03,0
"41",327,4365,0.35,0.44,0.06,0,2654,-1.5,0.320998157822645,0.03,0
"42",327,4371,0.35,0.44,0.06,0,2651,-1.5,0.320998157822645,0.03,0
"43",327,4544,0.35,0.46,0.06,0.07,2564.5,0.0957189547083764,0.290256927994982,0.065,0
"44",327,4825,0.35,0.48,0.06,0,2424,-1.5,0.344112826910603,0.03,0
"45",327,4963,0.35,0.28,0.06,0,2355,-1.5,-0.22413272587221,0.03,0
"46",327,5678,0.35,0.44,0.06,0,2675.5,-1.5,0.363234757536151,0.03,0
"47",327,5785,0.35,0.42,0.06,0,2729,-1.5,0.310094110298956,0.03,0
"48",327,5939,0.35,0.36,0.06,0,2806,-1.5,0.323221157989258,0.03,0
"49",327,6256,0.35,0.35,0.06,0,2964.5,-1.5,0.340659340659341,0.03,0
"50",327,6670,0.35,0.2,0.06,0,3171.5,-1.5,-0.314485451016575,0.03,0
"51",327,6827,0.35,0.44,0.06,0.03,3250,-0.0444310379233906,0.363234757536151,0.045,0
"52",327,7050,0.35,0.22,0.06,0,3361.5,-1.5,-0.0354281681901414,0.03,0
"53",327,7167,0.35,0.32,0.06,0.01,3420,-0.0253918358059513,-0.0539338098972465,0.035,0
"54",327,8361,0.35,0.31,0.06,0,4017,-1.5,0.142795480118603,0.03,0
"55",327,8688,0.35,0.26,0.06,0,4180.5,-1.5,0.234208604108145,0.03,0
"56",327,8782,0.35,0.29,0.06,0,4227.5,-1.5,-0.191747284793022,0.03,0
"57",327,9793,0.35,0.26,0.06,0,4733,-1.5,-0.0525774417385631,0.03,0
"58",885,1315,0.31,0.79,0,0,3900,-1.5,0.292498075890643,0,0
"59",885,2077,0.31,0.38,0,0,3519,-1.5,0.677987391036948,0,0
"60",885,2295,0.31,0.27,0,0,3410,-1.5,-0.212829944873941,0,0
"61",885,2522,0.31,0.39,0,0,3296.5,-1.5,0.572299845891673,0,0
"62",885,2665,0.31,0.58,0,0,3225,-1.5,0.351342214259631,0,0
"63",885,2974,0.31,0.42,0,0,3070.5,-1.5,0.56863116472444,0,0
"64",885,3391,0.31,0.29,0,0.16,2862,-1.5,-0.285425819593384,0.08,0
"65",885,3931,0.31,0.22,0,0,2592,-1.5,-0.251583992117417,0,0
"66",885,4187,0.31,0.69,0,0.14,2464,-1.5,0.309022907900888,0.07,0
"67",885,4199,0.31,0.44,0,0,2458,-1.5,0.451267452560552,0,0
"68",885,4365,0.31,0.44,0,0,2375,-1.5,0.451267452560552,0,0
"69",885,4371,0.31,0.44,0,0,2372,-1.5,0.451267452560552,0,0
"70",885,4544,0.31,0.46,0,0.07,2285.5,-1.5,0.422549671918065,0.035,0
"71",885,4825,0.31,0.48,0,0,2145,-1.5,0.481257049837075,0,0
"72",885,4963,0.31,0.28,0,0,2076,-1.5,-0.369837175658467,0,0
"73",885,5678,0.31,0.44,0,0,2396.5,-1.5,0.494826086977594,0,0
"74",885,5785,0.31,0.42,0,0,2450,-1.5,0.437206396298144,0,0
"75",885,5939,0.31,0.36,0,0,2527,-1.5,0.443249718816021,0,0
"76",885,6256,0.31,0.35,0,0,2685.5,-1.5,0.460118769271054,0,0
"77",885,6670,0.31,0.2,0,0,2892.5,-1.5,-0.335140031299918,0,0
"78",885,6827,0.31,0.44,0,0.03,2971,-1.5,0.451267452560552,0.015,0
"79",885,7050,0.31,0.22,0,0,3082.5,-1.5,-0.0949964451563691,0,0
"80",885,7167,0.31,0.32,0,0.01,3141,-1.5,-0.181698452802261,0.005,0
"81",885,8361,0.31,0.31,0,0,3738,-1.5,0.251986909770921,0,0
"82",885,8688,0.31,0.26,0,0,3901.5,-1.5,0.342098794904021,0,0
"83",885,8782,0.31,0.29,0,0,3948.5,-1.5,-0.237775432349079,0,0
"84",885,9793,0.31,0.26,0,0,4454,-1.5,-0.101545175432606,0,0
"85",1315,2077,0.79,0.38,0,0,3304,-1.5,0.353056804857615,0,0
"86",1315,2295,0.79,0.27,0,0,3195,-1.5,-0.0735504164033903,0,0
"87",1315,2522,0.79,0.39,0,0,3081.5,-1.5,0.361916577530099,0,0
"88",1315,2665,0.79,0.58,0,0,3010,-1.5,0.357159831374528,0,0
"89",1315,2974,0.79,0.42,0,0,2855.5,-1.5,0.239764677886522,0,0
"90",1315,3391,0.79,0.29,0,0.16,2647,-1.5,-0.427981618889913,0.08,0
"91",1315,3931,0.79,0.22,0,0,2377,-1.5,0.155281406651137,0,0
"92",1315,4187,0.79,0.69,0,0.14,2249,-1.5,0.079096575876054,0.07,0
"93",1315,4199,0.79,0.44,0,0,2243,-1.5,0.259171798346011,0,0
"94",1315,4365,0.79,0.44,0,0,2160,-1.5,0.259171798346011,0,0
"95",1315,4371,0.79,0.44,0,0,2157,-1.5,0.259171798346011,0,0
"96",1315,4544,0.79,0.46,0,0.07,2070.5,-1.5,0.229555090509185,0.035,0
"97",1315,4825,0.79,0.48,0,0,1930,-1.5,0.249642330813409,0,0
"98",1315,4963,0.79,0.28,0,0,1861,-1.5,-0.00656164588820893,0,0
"99",1315,5678,0.79,0.44,0,0,2181.5,-1.5,0.209711531486085,0,0
"100",1315,5785,0.79,0.42,0,0,2235,-1.5,0.190020968781434,0,0
"101",1315,5939,0.79,0.36,0,0,2312,-1.5,0.182089778485338,0,0
"102",1315,6256,0.79,0.35,0,0,2470.5,-1.5,0.17243718065328,0,0
"103",1315,6670,0.79,0.2,0,0,2677.5,-1.5,-0.110481438631553,0,0
"104",1315,6827,0.79,0.44,0,0.03,2756,-1.5,-0.0375898028135436,0.015,0
"105",1315,7050,0.79,0.22,0,0,2867.5,-1.5,-0.0225217307356611,0,0
"106",1315,7167,0.79,0.32,0,0.01,2926,-1.5,-0.0673685703460277,0.005,0
"107",1315,8361,0.79,0.31,0,0,3523,-1.5,0.0270733246287165,0,0
"108",1315,8688,0.79,0.26,0,0,3686.5,-1.5,0.0817197687354243,0,0
"109",1315,8782,0.79,0.29,0,0,3733.5,-1.5,-0.211556021474028,0,0
"110",1315,9793,0.79,0.26,0,0,4239,-1.5,-0.0861975642825709,0,0
"111",2077,2295,0.38,0.27,0,0,2814,-1.5,-0.383309066744655,0,0
"112",2077,2522,0.38,0.39,0,0,2700.5,-1.5,0.89462512663195,0,0
"113",2077,2665,0.38,0.58,0,0,2629,-1.5,0.582718938847206,0,0
"114",2077,2974,0.38,0.42,0,0,2474.5,-1.5,0.836510568373783,0,0
"115",2077,3391,0.38,0.29,0,0.16,2266,-1.5,-0.409534714725756,0.08,0
"116",2077,3931,0.38,0.22,0,0,1996,-1.5,-0.266574439590364,0,0
"117",2077,4187,0.38,0.69,0,0.14,1868,-1.5,0.346566485037284,0.07,0
"118",2077,4199,0.38,0.44,0,0,1862,-1.5,0.6341841146888,0,0
"119",2077,4365,0.38,0.44,0,0,1779,-1.5,0.6341841146888,0,0
"120",2077,4371,0.38,0.44,0,0,1776,-1.5,0.6341841146888,0,0
"121",2077,4544,0.38,0.46,0,0.07,1689.5,-1.5,0.600209931860576,0.035,0
"122",2077,4825,0.38,0.48,0,0,1549,-1.5,0.691136900055576,0,0
"123",2077,4963,0.38,0.28,0,0,1480,-1.5,-0.44232768961499,0,0
"124",2077,5678,0.38,0.44,0,0,1800.5,-1.5,0.551175722713826,0,0
"125",2077,5785,0.38,0.42,0,0,1854,-1.5,0.50257421373355,0,0
"126",2077,5939,0.38,0.36,0,0,1931,-1.5,0.571709415129791,0,0
"127",2077,6256,0.38,0.35,0,0,2089.5,-1.5,0.591755391655244,0,0
"128",2077,6670,0.38,0.2,0,0,2296.5,-1.5,-0.288429975200615,0,0
"129",2077,6827,0.38,0.44,0,0.03,2375,-1.5,0.385158938763879,0.015,0
"130",2077,7050,0.38,0.22,0,0,2486.5,-1.5,-0.216840402353356,0,0
"131",2077,7167,0.38,0.32,0,0.01,2545,-1.5,-0.316224805216693,0.005,0
"132",2077,8361,0.38,0.31,0,0,3142,-1.5,0.321620825445911,0,0
"133",2077,8688,0.38,0.26,0,0,3305.5,-1.5,0.334418132055831,0,0
"134",2077,8782,0.38,0.29,0,0,3352.5,-1.5,-0.273325829561979,0,0
"135",2077,9793,0.38,0.26,0,0,3858,-1.5,-0.135270255663033,0,0
"136",2295,2522,0.27,0.39,0,0,2591.5,-1.5,-0.486281601177123,0,0
"137",2295,2665,0.27,0.58,0,0,2520,-1.5,-0.121394687791497,0,0
"138",2295,2974,0.27,0.42,0,0,2365.5,-1.5,-0.517524721637435,0,0
"139",2295,3391,0.27,0.29,0,0.16,2157,-1.5,0.206997247006347,0.08,0
"140",2295,3931,0.27,0.22,0,0,1887,-1.5,0.275136724652905,0,0
"141",2295,4187,0.27,0.69,0,0.14,1759,-1.5,-0.274195100604185,0.07,0
"142",2295,4199,0.27,0.44,0,0,1753,-1.5,-0.493702392095916,0,0
"143",2295,4365,0.27,0.44,0,0,1670,-1.5,-0.493702392095916,0,0
"144",2295,4371,0.27,0.44,0,0,1667,-1.5,-0.493702392095916,0,0
"145",2295,4544,0.27,0.46,0,0.07,1580.5,-1.5,-0.470921600180595,0.035,0
"146",2295,4825,0.27,0.48,0,0,1440,-1.5,-0.494134243461577,0,0
"147",2295,4963,0.27,0.28,0,0,1371,-1.5,0.172571814915128,0,0
"148",2295,5678,0.27,0.44,0,0,1691.5,-1.5,-0.402948275901814,0,0
"149",2295,5785,0.27,0.42,0,0,1745,-1.5,-0.38061341961695,0,0
"150",2295,5939,0.27,0.36,0,0,1822,-1.5,-0.31534410991976,0,0
"151",2295,6256,0.27,0.35,0,0,1980.5,-1.5,-0.304597056374433,0,0
"152",2295,6670,0.27,0.2,0,0,2187.5,-1.5,0.259032661719803,0,0
"153",2295,6827,0.27,0.44,0,0.03,2266,-1.5,-0.402948275901814,0.015,0
"154",2295,7050,0.27,0.22,0,0,2377.5,-1.5,0.54701095849965,0,0
"155",2295,7167,0.27,0.32,0,0.01,2436,-1.5,0.162243206052788,0.005,0
"156",2295,8361,0.27,0.31,0,0,3033,-1.5,-0.164127440326128,0,0
"157",2295,8688,0.27,0.26,0,0,3196.5,-1.5,-0.206433514816402,0,0
"158",2295,8782,0.27,0.29,0,0,3243.5,-1.5,0.0580783642679679,0,0
"159",2295,9793,0.27,0.26,0,0,3749,-1.5,-0.206433514816402,0,0
"160",2522,2665,0.39,0.58,0,0,2406.5,-1.5,0.680421510034132,0,0
"161",2522,2974,0.39,0.42,0,0,2252,-1.5,0.939629704332849,0,0
